masa;tithi;paksha;date;end;sunrise;sunset
vishnu;pratipad;K;2023-03-08;19:20;5:58;
vishnu;dvitiya;K;2023-03-09;20:11;5:57;
vishnu;tritiya;K;2023-03-10;20:29;5:56;
vishnu;chaturti;K;2023-03-11;20:17;5:55;
vishnu;panchami;K;2023-03-12;19:36;5:54;
vishnu;shashthi;K;2023-03-13;18:28;5:54;
vishnu;saptami;K;2023-03-14;16:56;5:53;
vishnu;ashtami;K;2023-03-15;15:05;5:52;
vishnu;navami;K;2023-03-16;13:00;5:51;
vishnu;dashami;K;2023-03-17;10:43;5:50;
vishnu;ekadashi;K;2023-03-18;8:21;5:49;
vishnu;dvadashi;K;2023-03-19;5:57;5:48;17:44
vishnu;trayodashi;K;2023-03-20;3:38;5:47;
vishnu;chaturdashi;K;2023-03-21;1:25;5:46;
vishnu;amavasya;K;2023-03-21;23:27;5:45;
vishnu;pratipad;G;2023-03-22;21:44;5:44;
vishnu;dvitiya;G;2023-03-23;20:25;5:43;
vishnu;tritiya;G;2023-03-24;19:30;5:42;
vishnu;chaturti;G;2023-03-25;19:03;5:41;
vishnu;panchami;G;2023-03-26;19:08;5:40;
vishnu;shashthi;G;2023-03-27;19:43;5:39;
vishnu;saptami;G;2023-03-28;20:48;5:38;
vishnu;ashtami;G;2023-03-29;22:19;5:37;
vishnu;navami;G;2023-03-31;0:09;5:36;
vishnu;dashami;G;2023-04-01;2:13;5:35;
vishnu;ekadashi;G;2023-04-02;4:19;5:34;
vishnu;dvadashi;G;2023-04-03;6:15;5:33;17:49
vishnu;trayodashi;G;2023-04-04;7:55;5:32;17:49
vishnu;chaturdashi;G;2023-04-05;9:10;5:31;
vishnu;purnima;G;2023-04-06;9:57;5:30;
madhusudan;pratipad;K;2023-04-07;10:13;5:29;
madhusudan;dvitiya;K;2023-04-08;9:59;5:28;
madhusudan;tritiya;K;2023-04-09;9:15;5:27;
madhusudan;chaturti;K;2023-04-10;8:04;5:26;
madhusudan;panchami;K;2023-04-11;6:30;5:25;
madhusudan;shashthi;K;2023-04-12;4:38;5:25;
madhusudan;saptami;K;2023-04-13;2:30;5:24;
madhusudan;ashtami;K;2023-04-14;0:12;5:23;
madhusudan;navami;K;2023-04-14;21:49;5:22;
madhusudan;dashami;K;2023-04-15;19:22;5:21;
madhusudan;ekadashi;K;2023-04-16;17:00;5:21;
madhusudan;dvadashi;K;2023-04-17;14:46;5:20;17:55
madhusudan;trayodashi;K;2023-04-18;12:46;5:19;
madhusudan;chaturdashi;K;2023-04-19;11:02;5:18;
madhusudan;amavasya;K;2023-04-20;9:41;5:17;
madhusudan;pratipad;G;2023-04-21;8:45;5:16;
madhusudan;dvitiya;G;2023-04-22;8:16;5:16;
madhusudan;tritiya;G;2023-04-23;8:19;5:15;
madhusudan;chaturti;G;2023-04-24;8:53;5:14;
madhusudan;panchami;G;2023-04-25;9:56;5:13;
madhusudan;shashthi;G;2023-04-26;11:25;5:13;
madhusudan;saptami;G;2023-04-27;13:14;5:12;
madhusudan;ashtami;G;2023-04-28;15:16;5:11;
madhusudan;navami;G;2023-04-29;17:20;5:11;
madhusudan;dashami;G;2023-04-30;19:13;5:10;
madhusudan;ekadashi;G;2023-05-01;20:51;5:09;
madhusudan;dvadashi;G;2023-05-02;22:05;5:09;18:01
madhusudan;trayodashi;G;2023-05-03;22:51;5:08;
madhusudan;chaturdashi;G;2023-05-04;23:06;5:07;
madhusudan;purnima;G;2023-05-05;22:50;5:06;
trivikram;pratipad;K;2023-05-06;22:06;5:05;
trivikram;dvitiya;K;2023-05-07;20:54;5:05;
trivikram;tritiya;K;2023-05-08;19:19;5:05;
trivikram;chaturti;K;2023-05-09;17:25;5:04;
trivikram;panchami;K;2023-05-10;15:26;5:04;
trivikram;shashthi;K;2023-05-11;12:56;5:03;
trivikram;saptami;K;2023-05-12;10:30;5:03;
trivikram;ashtami;K;2023-05-13;8:03;5:02;
trivikram;navami;K;2023-05-14;5:40;5:01;
trivikram;dashami;K;2023-05-15;3:25;5:01;
trivikram;ekadashi;K;2023-05-16;1:23;5:01;
trivikram;dvadashi;K;2023-05-16;23:37;5:01;18:07
trivikram;trayodashi;K;2023-05-17;22:18;5:00;
trivikram;chaturdashi;K;2023-05-18;21:15;4:59;
trivikram;amavasya;K;2023-05-19;20:45;4:59;
trivikram;pratipad;G;2023-05-20;20:44;4:58;
trivikram;dvitiya;G;2023-05-21;21:15;4:58;
trivikram;tritiya;G;2023-05-22;22:16;4:57;
trivikram;chaturti;G;2023-05-23;23:42;4:57;
trivikram;panchami;G;2023-05-25;1:28;4:57;
trivikram;shashthi;G;2023-05-26;3:28;4:57;
trivikram;saptami;G;2023-05-27;5:31;4:56;
trivikram;ashtami;G;2023-05-28;7:25;4:56;
trivikram;navami;G;2023-05-29;9:03;4:56;
trivikram;dashami;G;2023-05-30;10:17;4:56;
trivikram;ekadashi;G;2023-05-31;11:03;4:56;
trivikram;dvadashi;G;2023-06-01;11:18;4:56;18:14
trivikram;trayodashi;G;2023-06-02;11:03;4:56;
trivikram;chaturdashi;G;2023-06-03;10:18;4:56;
trivikram;purnima;G;2023-06-04;9:06;4:56;
vaman;pratipad;K;2023-06-05;7:31;4:56;
vaman;dvitiya;K;2023-06-06;5:37;4:56;
vaman;tritiya;K;2023-06-07;3:27;4:56;
vaman;chaturti;K;2023-06-08;1:07;4:56;
vaman;panchami;K;2023-06-08;22:41;4:56;
vaman;shashthi;K;2023-06-09;20:12;4:56;
vaman;saptami;K;2023-06-10;17:47;4:56;
vaman;ashtami;K;2023-06-11;15:31;4:56;
vaman;navami;K;2023-06-12;13:27;4:56;
vaman;dashami;K;2023-06-13;11:40;4:56;
vaman;ekadashi;K;2023-06-14;10:15;4:56;
vaman;dvadashi;K;2023-06-15;9:13;4:56;18:20
vaman;trayodashi;K;2023-06-16;8:40;4:56;18:21
vaman;chaturdashi;K;2023-06-17;8:37;4:56;
vaman;amavasya;K;2023-06-18;9:05;4:56;
vaman;pratipad;G;2023-06-19;9:59;4:56;
vaman;dvitiya;G;2023-06-20;11:27;4:56;
vaman;tritiya;G;2023-06-21;13:11;4:56;
vaman;chaturti;G;2023-06-22;15:08;4:56;
vaman;panchami;G;2023-06-23;17:10;4:56;
vaman;shashthi;G;2023-06-24;19:04;4:56;
vaman;saptami;G;2023-06-25;20:43;4:56;
vaman;ashtami;G;2023-06-26;21:58;4:57;
vaman;navami;G;2023-06-27;22:47;4:57;
vaman;dashami;G;2023-06-28;23:03;4:58;
vaman;ekadashi;G;2023-06-29;22:49;4:58;
vaman;dvadashi;G;2023-06-30;22:06;4:58;18:24
vaman;trayodashi;G;2023-07-01;20:56;4:59;
vaman;chaturdashi;G;2023-07-02;19:22;4:59;
vaman;purnima;G;2023-07-03;17:28;5:00;
shridhar;pratipad;K;2023-07-04;15:19;5:00;
shridhar;dvitiya;K;2023-07-05;12:59;5:00;
shridhar;tritiya;K;2023-07-06;10:32;5:01;
shridhar;chaturti;K;2023-07-07;8:03;5:01;
shridhar;panchami;K;2023-07-08;5:37;5:02;
shridhar;shashthi;K;2023-07-09;3:19;5:02;
shridhar;saptami;K;2023-07-10;1:14;5:02;
shridhar;ashtami;K;2023-07-10;23:24;5:02;
shridhar;navami;K;2023-07-11;21:57;5:03;
shridhar;dashami;K;2023-07-12;20:45;5:03;
shridhar;ekadashi;K;2023-07-13;20:18;5:03;
shridhar;dvadashi;K;2023-07-14;20:13;5:04;18:23
shridhar;trayodashi;K;2023-07-15;20:39;5:04;
shridhar;chaturdashi;K;2023-07-16;21:34;5:04;
shridhar;amavasya;K;2023-07-17;22:56;5:05;
purushottam;pratipad;G;2023-07-19;0:39;5:05;
purushottam;dvitiya;G;2023-07-20;2:36;5:05;
purushottam;tritiya;G;2023-07-21;4:38;5:05;
purushottam;chaturti;G;2023-07-22;6:32;5:06;
purushottam;panchami;G;2023-07-23;8:12;5:06;
purushottam;shashthi;G;2023-07-24;9:28;5:07;
purushottam;saptami;G;2023-07-25;10:19;5:07;
purushottam;ashtami;G;2023-07-26;10:38;5:07;
purushottam;navami;G;2023-07-27;10:26;5:08;
purushottam;dashami;G;2023-07-28;9:46;5:08;
purushottam;ekadashi;G;2023-07-29;8:38;5:09;
purushottam;dvadashi;G;2023-07-30;7:06;5:09;18:18
purushottam;trayodashi;G;2023-07-31;5:13;5:10;
purushottam;chaturdashi;G;2023-08-01;3:05;5:10;
purushottam;purnima;G;2023-08-02;0:46;5:10;
purushottam;pratipad;K;2023-08-02;22:20;5:11;
purushottam;dvitiya;K;2023-08-03;19:51;5:11;
purushottam;tritiya;K;2023-08-04;17:26;5:12;
purushottam;chaturti;K;2023-08-05;15:08;5:12;
purushottam;panchami;K;2023-08-06;13:02;5:13;
purushottam;shashthi;K;2023-08-07;11:12;5:13;
purushottam;saptami;K;2023-08-08;9:43;5:13;
purushottam;ashtami;K;2023-08-09;8:38;5:14;
purushottam;navami;K;2023-08-10;8:01;5:14;
purushottam;dashami;K;2023-08-11;7:55;5:15;
purushottam;ekadashi;K;2023-08-12;8:19;5:15;
purushottam;dvadashi;K;2023-08-13;9:14;5:15;18:09
purushottam;trayodashi;K;2023-08-14;10:35;5:16;18:09
purushottam;chaturdashi;K;2023-08-15;12:18;5:16;
purushottam;amavasya;K;2023-08-16;14:15;5:16;
shridhar;pratipad;G;2023-08-17;16:18;5:17;
shridhar;dvitiya;G;2023-08-18;18:14;5:17;
shridhar;tritiya;G;2023-08-19;19:56;5:18;
shridhar;chaturti;G;2023-08-20;21:14;5:18;
shridhar;panchami;G;2023-08-21;22:07;5:18;
shridhar;shashthi;G;2023-08-22;22:29;5:18;
shridhar;saptami;G;2023-08-23;22:20;5:19;
shridhar;ashtami;G;2023-08-24;21:41;5:19;
shridhar;navami;G;2023-08-25;20:35;5:19;
shridhar;dashami;G;2023-08-26;19:05;5:19;
shridhar;ekadashi;G;2023-08-27;17:15;5:20;17:59
shridhar;dvadashi;G;2023-08-28;15:09;5:20;17:58
shridhar;trayodashi;G;2023-08-29;12:52;5:21;
shridhar;chaturdashi;G;2023-08-30;10:27;5:21;
shridhar;purnima;G;2023-08-31;7:59;5:21;
hrishikesh;pratipad;K;2023-09-01;5:35;5:22;
hrishikesh;dvitiya;K;2023-09-02;3:17;5:22;
hrishikesh;tritiya;K;2023-09-03;1:11;5:23;
hrishikesh;chaturti;K;2023-09-03;23:22;5:23;
hrishikesh;panchami;K;2023-09-04;21:54;5:23;
hrishikesh;shashthi;K;2023-09-05;21:49;5:23;
hrishikesh;saptami;K;2023-09-06;20:12;5:24;
hrishikesh;ashtami;K;2023-09-07;20:05;5:24;
hrishikesh;navami;K;2023-09-08;20:28;5:24;
hrishikesh;dashami;K;2023-09-09;21:23;5:25;
hrishikesh;ekadashi;K;2023-09-10;22:45;5:25;
hrishikesh;dvadashi;K;2023-09-12;0:29;5:25;17:44
hrishikesh;trayodashi;K;2023-09-13;2:28;5:25;
hrishikesh;chaturdashi;K;2023-09-14;4:52;5:26;
hrishikesh;amavasya;K;2023-09-15;6:30;5:26;
hrishikesh;pratipad;G;2023-09-16;8:15;5:27;
hrishikesh;dvitiya;G;2023-09-17;9:36;5:27;
hrishikesh;tritiya;G;2023-09-18;10:32;5:27;
hrishikesh;chaturti;G;2023-09-19;10:56;5:28;
hrishikesh;panchami;G;2023-09-20;10:49;5:28;
hrishikesh;shashthi;G;2023-09-21;10:13;5:28;
hrishikesh;saptami;G;2023-09-22;9:10;5:29;
hrishikesh;ashtami;G;2023-09-23;7:30;5:29;
hrishikesh;navami;G;2023-09-24;5:52;5:29;
hrishikesh;dashami;G;2023-09-25;3:49;5:29;
hrishikesh;ekadashi;G;2023-09-26;1:33;5:30;17:29
hrishikesh;dvadashi;G;2023-09-26;23:10;5:30;
hrishikesh;trayodashi;G;2023-09-27;20:44;5:30;
hrishikesh;chaturdashi;G;2023-09-28;18:45;5:31;
hrishikesh;purnima;G;2023-09-29;1:30;5:31;
padmanabha;pratipad;K;2023-09-30;14:01;5:31;
padmanabha;dvitiya;K;2023-10-01;12:13;5:32;
padmanabha;tritiya;K;2023-10-02;10:46;5:32;
padmanabha;chaturti;K;2023-10-03;9:43;5:32;
padmanabha;panchami;K;2023-10-04;9:47;5:33;
padmanabha;shashthi;K;2023-10-05;9:02;5:33;
padmanabha;saptami;K;2023-10-06;9:28;5:33;
padmanabha;ashtami;K;2023-10-07;10:24;5:34;
padmanabha;navami;K;2023-10-08;11:47;5:34;
padmanabha;dashami;K;2023-10-09;13:33;5:34;
padmanabha;ekadashi;K;2023-10-10;15:34;5:35;
padmanabha;dvadashi;K;2023-10-11;17:40;5:35;17:14
padmanabha;trayodashi;K;2023-10-12;19:41;5:36;17:13
padmanabha;chaturdashi;K;2023-10-13;21:27;5:26;
padmanabha;amavasya;K;2023-10-14;22:51;5:36;
padmanabha;pratipad;G;2023-10-15;23:49;5:37;
padmanabha;dvitiya;G;2023-10-17;0:15;5:37;
padmanabha;tritiya;G;2023-10-18;0:10;5:38;
padmanabha;chaturti;G;2023-10-18;23:36;5:38;
padmanabha;panchami;G;2023-10-19;22:34;5:39;
padmanabha;shashthi;G;2023-10-20;21:08;5:39;
padmanabha;saptami;G;2023-10-21;19:21;5:40;
padmanabha;ashtami;G;2023-10-22;17:18;5:40;
padmanabha;navami;G;2023-10-23;15:04;5:41;
padmanabha;dashami;G;2023-10-24;12:42;5:41;
padmanabha;ekadashi;G;2023-10-25;10:18;5:42;
padmanabha;dvadashi;G;2023-10-26;7:58;5:42;17:01
padmanabha;trayodashi;G;2023-10-27;5:44;5:43;
padmanabha;chaturdashi;G;2023-10-28;3:42;5:43;
padmanabha;purnima;G;2023-10-29;1:56;5:43;
damodar;pratipad;K;2023-10-30;0:32;5:44;
damodar;dvitiya;K;2023-10-30;23:32;5:44;
damodar;tritiya;K;2023-10-31;22:59;5:45;
damodar;chaturti;K;2023-11-01;22:57;5:45;
damodar;panchami;K;2023-11-02;23:26;5:46;
damodar;shashthi;K;2023-11-04;0:25;5:46;
damodar;saptami;K;2023-11-05;1:51;5:47;
damodar;ashtami;K;2023-11-06;3:39;5:48;
damodar;navami;K;2023-11-07;5:42;5:48;
damodar;dashami;K;2023-11-08;7:51;5:49;
damodar;ekadashi;K;2023-11-09;9:54;5:50;16:53
damodar;dvadashi;K;2023-11-10;11:42;5:51;
damodar;trayodashi;K;2023-11-11;13:07;5:51;
damodar;chaturdashi;K;2023-11-12;14:06;5:52;
damodar;amavasya;K;2023-11-13;14:33;5:53;
damodar;pratipad;G;2023-11-14;14:30;5:53;
damodar;dvitiya;G;2023-11-15;13:56;5:54;
damodar;tritiya;G;2023-11-16;12:56;5:55;
damodar;chaturti;G;2023-11-17;11:30;5:56;
damodar;panchami;G;2023-11-18;9:45;5:56;
damodar;shashthi;G;2023-11-19;7:43;5:57;
damodar;saptami;G;2023-11-20;5:30;5:57;
damodar;ashtami;G;2023-11-21;3:10;5:58;
damodar;navami;G;2023-11-22;0:47;5:59;
damodar;dashami;G;2023-11-22;22:28;6:00;
damodar;ekadashi;G;2023-11-23;20:17;6:00;
damodar;dvadashi;G;2023-11-24;18:18;6:01;16:47
damodar;trayodashi;G;2023-11-25;16:35;6:02;
damodar;chaturdashi;G;2023-11-26;15:15;6:02;
damodar;purnima;G;2023-11-27;14:17;6:03;
keshava;pratipad;K;2023-11-28;13:48;6:03;
keshava;dvitiya;K;2023-11-29;13:50;6:04;
keshava;tritiya;K;2023-11-30;14:22;6:05;
keshava;chaturti;K;2023-12-01;15:25;6:05;
keshava;panchami;K;2023-12-02;16:55;6:06;
keshava;shashthi;K;2023-12-03;18:46;6:06;
keshava;saptami;K;2023-12-04;20:52;6:07;
keshava;ashtami;K;2023-12-05;23:02;6:08;
keshava;navami;K;2023-12-07;1:05;6:08;
keshava;dashami;K;2023-12-08;2:53;6:09;
keshava;ekadashi;K;2023-12-09;4:18;6:10;
keshava;dvadashi;K;2023-12-10;5:19;6:10;
keshava;trayodashi;K;2023-12-11;5:44;6:11;16:49
keshava;chaturdashi;K;2023-12-12;5:39;6:12;
keshava;amavasya;K;2023-12-13;5:05;6:12;
keshava;pratipad;G;2023-12-14;4:04;6:13;
keshava;dvitiya;G;2023-12-15;2:38;6:14;
keshava;tritiya;G;2023-12-16;0:53;6:14;
keshava;chaturti;G;2023-12-16;22:52;6:15;
keshava;panchami;G;2023-12-17;20:40;6:16;
keshava;shashthi;G;2023-12-18;18:21;6:17;
keshava;saptami;G;2023-12-19;15:59;6:17;
keshava;ashtami;G;2023-12-20;13:41;6:18;
keshava;navami;G;2023-12-21;11:32;6:19;
keshava;dashami;G;2023-12-22;9:35;6:20;
keshava;ekadashi;G;2023-12-23;7:55;6:20;16:53
keshava;dvadashi;G;2023-12-24;6:38;6:21;
keshava;trayodashi;G;2023-12-25;5:43;6:21;
keshava;chaturdashi;G;2023-12-26;5:17;6:21;
keshava;purnima;G;2023-12-27;5:22;6:22;
narayan;pratipad;K;2023-12-28;5:58;6:22;
narayan;dvitiya;K;2023-12-29;7:05;6:22;
narayan;tritiya;K;2023-12-30;8:38;6:22;
narayan;chaturti;K;2023-12-31;10:31;6:23;
narayan;panchami;K;2024-01-01;12:38;6:23;
narayan;shashthi;K;2024-01-02;14:49;6:23;
narayan;saptami;K;2024-01-03;16:52;6:23;
narayan;ashtami;K;2024-01-04;18:38;6:24;
narayan;navami;K;2024-01-05;20:01;6:24;
narayan;dashami;K;2024-01-06;20:57;6:24;
narayan;ekadashi;K;2024-01-07;21:21;6:24;17:03
narayan;dvadashi;K;2024-01-08;21:15;6:24;
narayan;trayodashi;K;2024-01-09;20:39;6:25;
narayan;chaturdashi;K;2024-01-10;19:35;6:25;
narayan;amavasya;K;2024-01-11;18:07;6:25;
narayan;pratipad;G;2024-01-12;16:21;6:25;
narayan;dvitiya;G;2024-01-13;14:18;6:25;
narayan;tritiya;G;2024-01-14;12:06;6:26;
narayan;chaturti;G;2024-01-15;9:46;6:26;
narayan;panchami;G;2024-01-16;7:25;6:26;
narayan;shashthi;G;2024-01-17;5:08;6:26;
narayan;saptami;G;2024-01-18;3:00;6:26;
narayan;ashtami;G;2024-01-19;1:04;6:26;
narayan;navami;G;2024-01-19;23:25;6:26;
narayan;dashami;G;2024-01-20;22:09;6:26;
narayan;ekadashi;G;2024-01-21;21:16;6:26;17:11
narayan;dvadashi;G;2024-01-22;20:53;6:26;17:12
narayan;trayodashi;G;2024-01-23;21:01;6:26;
narayan;chaturdashi;G;2024-01-24;21:39;6:26;
narayan;purnima;G;2024-01-25;22:47;6:25;
madhava;pratipad;K;2024-01-27;0:21;6:25;
madhava;dvitiya;K;2024-01-28;2:16;6:25;
madhava;tritiya;K;2024-01-29;4:23;6:24;
madhava;chaturti;K;2024-01-30;6:32;6:24;
madhava;panchami;K;2024-01-31;8:32;6:23;
madhava;shashthi;K;2024-02-01;10:17;6:23;
madhava;saptami;K;2024-02-02;11:37;6:22;
madhava;ashtami;K;2024-02-03;12:29;6:22;
madhava;navami;K;2024-02-04;12:50;6:22;
madhava;dashami;K;2024-02-05;12:39;6:21;
madhava;ekadashi;K;2024-02-06;12:00;6:21;
madhava;dvadashi;K;2024-02-07;10:52;6:20;17:23
madhava;trayodashi;K;2024-02-08;9:22;6:20;
madhava;chaturdashi;K;2024-02-09;7:33;6:19;
madhava;amavasya;K;2024-02-10;5:29;6:19;
madhava;pratipad;G;2024-02-11;3:14;6:19;
madhava;dvitiya;G;2024-02-12;0:53;6:16;
madhava;tritiya;G;2024-02-12;22:31;6:18;
madhava;chaturti;G;2024-02-13;20:13;6:17;
madhava;panchami;G;2024-02-14;18:05;6:16;
madhava;shashthi;G;2024-02-15;16:09;6:16;
madhava;saptami;G;2024-02-16;14:30;6:15;
madhava;ashtami;G;2024-02-17;13:15;6:15;
madhava;navami;G;2024-02-18;12:24;6:14;
madhava;dashami;G;2024-02-19;12:01;6:14;
madhava;ekadashi;G;2024-02-20;12:09;6:13;
madhava;dvadashi;G;2024-02-21;12:48;6:12;17:31
madhava;trayodashi;G;2024-02-22;13:57;6:11;
madhava;chaturdashi;G;2024-02-23;15:30;6:11;
madhava;purnima;G;2024-02-24;17:24;6:10;
govinda;pratipad;K;2024-02-25;19:30;6:09;
govinda;dvitiya;K;2024-02-26;21:38;6:08;
govinda;tritiya;K;2024-02-27;23:36;6:07;
govinda;chaturti;K;2024-02-29;1:17;6:06;
govinda;panchami;K;2024-03-01;2:34;6:05;
govinda;shashthi;K;2024-03-02;3:23;6:04;
govinda;saptami;K;2024-03-03;3:40;6:03;
govinda;ashtami;K;2024-03-04;3:26;6:02;
govinda;navami;K;2024-03-05;2:43;6:01;
govinda;dashami;K;2024-03-06;1:33;6:00;
govinda;ekadashi;K;2024-03-06;23:59;6:00;17:38
govinda;dvadashi;K;2024-03-07;22:07;5:59;
govinda;trayodashi;K;2024-03-08;20:00;5:58;
govinda;chaturdashi;K;2024-03-09;17:43;5:57;
govinda;amavasya;K;2024-03-10;15:20;5:56;
govinda;pratipad;G;2024-03-11;12:56;5:55;
govinda;dvitiya;G;2024-03-12;10:37;5:54;
govinda;tritiya;G;2024-03-13;8:27;5:54;
govinda;chaturti;G;2024-03-14;6:30;5:53;
govinda;panchami;G;2024-03-15;4:52;5:52;
govinda;shashthi;G;2024-03-16;3:35;5:51;
govinda;saptami;G;2024-03-17;2:44;5:50;
govinda;ashtami;G;2024-03-18;2:21;5:49;
govinda;navami;G;2024-03-19;2:29;5:48;
govinda;dashami;G;2024-03-20;3:07;5:47;
govinda;ekadashi;G;2024-03-21;4:15;5:46;
govinda;dvadashi;G;2024-03-22;5:47;5:45;17:45
govinda;trayodashi;G;2024-03-23;7:37;5:44;
govinda;chaturdashi;G;2024-03-24;9:43;5:43;
govinda;purnima;G;2024-03-25;11:49;5:42;
vishnu;pratipad;K;2024-03-26;13:44;5:41;
vishnu;dvitiya;K;2024-03-27;15:22;5:40;
vishnu;tritiya;K;2024-03-28;16:36;5:39;
vishnu;chaturti;K;2024-03-29;17:22;5:38;
vishnu;panchami;K;2024-03-30;17:36;5:37;
vishnu;shashthi;K;2024-03-31;17:20;5:36;
vishnu;saptami;K;2024-04-01;16:34;5:35;
vishnu;ashtami;K;2024-04-02;15:22;5:34;
vishnu;navami;K;2024-04-03;13:47;5:33;
vishnu;dashami;K;2024-04-04;11:52;5:32;
vishnu;ekadashi;K;2024-04-05;9:43;5:31;17:50
vishnu;dvadashi;K;2024-04-06;7:23;5:30;
vishnu;trayodashi;K;2024-04-07;4:59;5:29;
vishnu;chaturdashi;K;2024-04-08;2:34;5:28;
vishnu;amavasya;K;2024-04-09;0:13;5:27;
vishnu;pratipad;G;2024-04-09;22:01;5:27;
vishnu;dvitiya;G;2024-04-10;20:02;5:26;
vishnu;tritiya;G;2024-04-11;15:03;5:19;
vishnu;chaturti;G;2024-04-12;13:11;5:18;
vishnu;panchami;G;2024-04-13;12:04;5:17;
vishnu;shashthi;G;2024-04-14;11:43;5:16;
vishnu;saptami;G;2024-04-15;12:11;5:16;
vishnu;ashtami;G;2024-04-16;13:23;5:15;
vishnu;navami;G;2024-04-17;15:14;5:14;
vishnu;dashami;G;2024-04-18;17:31;5:13;
vishnu;ekadashi;G;2024-04-19;20:04;5:12;17:59
vishnu;dvadashi;G;2024-04-20;22:41;5:11;
vishnu;trayodashi;G;2024-04-22;1:11;5:10;
vishnu;chaturdashi;G;2024-04-23;3:25;5:09;
vishnu;purnima;G;2024-04-24;5:00;5:08;
